Date,Country,Predicted_Vaccinations
2022-03-26,Congo,1022887.1941916943
2022-03-27,Congo,1072095.610670805
2022-03-28,Congo,1122750.4984500408
2022-03-29,Congo,1175192.7566673756
2022-03-30,Congo,1228307.604855299
2022-03-31,Congo,1278815.63934803
2022-03-29,Cook Islands,30275.961543798443
2022-03-30,Cook Islands,30612.612787008282
2022-03-31,Cook Islands,30957.168376445767
2022-03-29,Costa Rica,9940365.541263461
2022-03-30,Costa Rica,10093470.073231459
2022-03-31,Costa Rica,10238843.240504503
2022-03-28,Cote d'Ivoire,10570778.00782299
2022-03-29,Cote d'Ivoire,10770255.23015976
2022-03-30,Cote d'Ivoire,10951880.088062286
2022-03-31,Cote d'Ivoire,11122170.072179794
2022-03-30,Croatia,5224858.642389059
2022-03-31,Croatia,5225734.8006721735
2022-03-28,Cuba,35474432.40896989
2022-03-29,Cuba,35491210.56007338
2022-03-30,Cuba,35511280.023828276
2022-03-31,Cuba,35533886.45837236
2022-03-30,Curacao,247600.3543370962
2022-03-31,Curacao,247710.60502171516
2022-03-30,Czech Republic,17547347.835471153
2022-03-31,Czech Republic,17552990.012348413
2022-03-25,Democratic Republic of Congo,1239028.4691443443
2022-03-26,Democratic Republic of Congo,1551757.0899233818
2022-03-27,Democratic Republic of Congo,1988123.4232053757
2022-03-28,Democratic Republic of Congo,2605297.529398918
2022-03-29,Democratic Republic of Congo,3365202.039527893
2022-03-30,Democratic Republic of Congo,4160531.6542720795
2022-03-31,Democratic Republic of Congo,4789503.775901794
2022-03-29,Denmark,13361381.750453234
2022-03-30,Denmark,13368469.0811522
2022-03-31,Denmark,13380386.821463108
2022-03-30,Dominican Republic,15401135.026750086
2022-03-31,Dominican Republic,15405365.001250861
2022-03-26,Dominica,63140.66447138786
2022-03-27,Dominica,63251.86627149582
2022-03-28,Dominica,63382.6036233902
2022-03-29,Dominica,63527.563510894775
2022-03-30,Dominica,63682.6887216568
2022-03-31,Dominica,63844.04836678505
2022-03-27,Ecuador,32794868.67330122
2022-03-28,Ecuador,32808619.496601343
2022-03-29,Ecuador,32806539.872375965
2022-03-30,Ecuador,32794097.709947705
2022-03-31,Ecuador,32773091.923808098
2022-03-25,El Salvador,10441704.62099886
2022-03-26,El Salvador,10471092.536900759
2022-03-27,El Salvador,10501955.934338093
2022-03-28,El Salvador,10533444.05165112
2022-03-29,El Salvador,10560077.238558412
2022-03-30,El Salvador,10586494.31958425
2022-03-31,El Salvador,10610888.202444077
2022-03-27,Equatorial Guinea,459787.41487264633
2022-03-28,Equatorial Guinea,461525.45907998085
2022-03-29,Equatorial Guinea,463051.52428007126
2022-03-30,Equatorial Guinea,464338.2017931938
2022-03-31,Equatorial Guinea,465302.8760151863
2022-03-30,Estonia,1980494.9505012035
2022-03-31,Estonia,1981290.2078959942
2022-03-28,Ethiopia,30390546.002697468
2022-03-29,Ethiopia,31222196.64362979
2022-03-30,Ethiopia,32086953.214820143
2022-03-31,Ethiopia,32972580.840948578
2022-03-30,Finland,11474305.22191906
2022-03-31,Finland,11484270.449682713
2022-03-29,France,141490352.19933105
2022-03-30,France,141507206.27962565
2022-03-31,France,141518478.92351007
2022-03-29,French Polynesia,379600.02703380585
2022-03-30,French Polynesia,382575.36894750595
2022-03-31,French Polynesia,385167.455327034
2022-03-30,Georgia,2862003.587771058
2022-03-31,Georgia,2863338.0843132734
2022-03-30,Germany,171503167.8721755
2022-03-31,Germany,171519286.35804486
2022-03-25,Gibraltar,115370.13830852509
2022-03-26,Gibraltar,115574.27280378342
2022-03-27,Gibraltar,115727.5257049799
2022-03-28,Gibraltar,115856.4953083992
2022-03-29,Gibraltar,115969.68145930767
2022-03-30,Gibraltar,116068.17600774765
2022-03-31,Gibraltar,116152.45577430725
2022-03-30,Greece,20555512.027860403
2022-03-31,Greece,20567732.64598918
2022-03-26,Grenada,91671.59127140045
2022-03-27,Grenada,92072.8778848648
2022-03-28,Grenada,92581.09391593933
2022-03-29,Grenada,93173.60049939156
2022-03-30,Grenada,93826.12760806084
2022-03-31,Grenada,94514.7792391777
2022-03-26,Guatemala,15293682.214213906
2022-03-27,Guatemala,15401621.448397635
2022-03-28,Guatemala,15487644.71966475
2022-03-29,Guatemala,15552303.61060202
2022-03-30,Guatemala,15604001.255241035
2022-03-31,Guatemala,15647704.730334876
2022-03-24,Guernsey,156130.46657204625
2022-03-25,Guernsey,157140.00405895707
2022-03-26,Guernsey,158378.13810348508
2022-03-27,Guernsey,159800.23811268804
2022-03-28,Guernsey,161365.53724253175
2022-03-29,Guernsey,163047.3326950073
2022-03-30,Guernsey,164842.34457659718
2022-03-31,Guernsey,166736.06236362454
2022-03-27,Guinea-Bissau,560125.4445151091
2022-03-28,Guinea-Bissau,569434.7483518124
2022-03-29,Guinea-Bissau,577503.3780130148
2022-03-30,Guinea-Bissau,583499.7486362457
2022-03-31,Guinea-Bissau,585728.7677257061
2022-03-22,Guinea,5934995.026337504
2022-03-23,Guinea,6090898.31700623
2022-03-24,Guinea,6257512.156301141
2022-03-25,Guinea,6435156.723203063
2022-03-26,Guinea,6623532.903137803
2022-03-27,Guinea,6822344.390118718
2022-03-28,Guinea,7013332.556475997
2022-03-29,Guinea,7169954.143410921
2022-03-30,Guinea,7312589.666488171
2022-03-31,Guinea,7465677.348136902
2022-03-26,Guyana,870459.4236562252
2022-03-27,Guyana,879005.978001833
