"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Date
"
North America
","130,353,914","+5,409","1,665,702",+11,"125,805,357","+10,982","2,882,855",2024-01-11
"
Asia
","221,285,051",+5,"1,552,498",,"205,323,950",+1,"14,408,603",2024-01-11
"
Europe
","252,717,157","+2,088","2,092,668",+25,"248,048,475","+6,172","2,576,014",2024-01-11
"
South America
","69,491,576",,"1,364,260",,"66,581,324",,"1,545,992",2024-01-11
"
Oceania
","14,731,298","+1,988","32,076",+10,"14,527,638",+3,"171,584",2024-01-11
"
Africa
","12,857,985",,"258,877",,"12,089,877",,"509,231",2024-01-11
"

",721,,15,,706,,0,2024-01-11
Dominica,"16,038",,74                                ,,"15,964",,0,2024-01-11
Djibouti,"15,690",,189                                ,,"15,427",,74,2024-01-11
CAR,"15,440",,113                                ,,"15,200",,127,2024-01-11
Gambia,"12,626",,372                                ,,"12,189",,65,2024-01-11
Saint Martin,"12,324",,63                                ,,N/A,N/A,N/A,2024-01-11
Vanuatu,"12,019",,14                                ,,"11,976",,29,2024-01-11
Greenland,"11,971",,21                                ,,"2,761",,"9,189",2024-01-11
Yemen,"11,945",,"2,159                                ",,"9,124",,662,2024-01-11
Caribbean Netherlands,"11,682",,38                                ,,"10,476",,"1,168",2024-01-11
Sint Maarten,"11,051",,92                                ,,"10,905",,54,2024-01-11
Eritrea,"10,189",,103                                ,,"10,086",,0,2024-01-11
Niger,"9,931",,312                                ,,"8,890",,729,2024-01-11
St. Vincent Grenadines,"9,674",,124                                ,,"9,493",,57,2024-01-11
Guinea-Bissau,"9,614",,177                                ,,"8,929",,508,2024-01-11
Comoros,"9,109",,161                                ,,"8,939",,9,2024-01-11
Antigua and Barbuda,"9,106",,146                                ,,"8,954",,6,2024-01-11
Liberia,"8,090",,295                                ,,"7,783",,12,2024-01-11
Sierra Leone,"7,779",,126                                ,,N/A,N/A,N/A,2024-01-11
Chad,"7,701",,194                                ,,"4,874",,"2,633",2024-01-11
British Virgin Islands,"7,392",,64                                ,,N/A,N/A,N/A,2024-01-11
Cook Islands,"7,203",,2                                ,,"7,150",,51,2024-01-11
Sao Tome and Principe,"6,746",,80                                ,,"6,665",,1,2024-01-11
Turks and Caicos,"6,711",,40                                ,,"6,664",,7,2024-01-11
Saint Kitts and Nevis,"6,607",,48                                ,,"6,559",,0,2024-01-11
Palau,"6,265",,9                                ,,"6,252",,4,2024-01-11
St. Barth,"5,507",,6                                ,,N/A,N/A,N/A,2024-01-11
Nauru,"5,393",,1                                ,,"5,347",,45,2024-01-11
Kiribati,"5,085",,24                                ,,"2,703",,"2,358",2024-01-11
Anguilla,"3,904",,12                                ,,N/A,N/A,N/A,2024-01-11
Wallis and Futuna,"3,550",,8                                ,,438,,"3,104",2024-01-11
Saint Pierre Miquelon,"3,452",,2                                ,,"2,449",,"1,001",2024-01-11
Tuvalu,"2,943",,1                                ,,N/A,N/A,N/A,2024-01-11
Saint Helena,"2,166",, ,,2,,"2,164",2024-01-11
Falkland Islands,"1,930",, ,,"1,930",,0,2024-01-11
Montserrat,"1,403",,8                                ,,"1,376",,19,2024-01-11
Niue,"1,030",+4, ,,"1,012",+3,18,2024-01-11
Diamond Princess,712,,13                                ,,699,,0,2024-01-11
Tokelau,80,, ,,,,80,2024-01-11
Vatican City,29,, ,,29,,0,2024-01-11
Western Sahara,10,,1                                ,,9,,0,2024-01-11
MS Zaandam,9,,2                                ,,7,,0,2024-01-11
China,"503,302",,"5,272                                ",,"379,053",,"118,977",2024-01-11
Total:,"130,353,914","+5,409","1,665,702",+11,"125,805,357","+10,982","2,882,855",2024-01-11
Total:,"221,285,051",+5,"1,552,498",,"205,323,950",,"14,408,603",2024-01-11
Total:,"252,717,157","+2,088","2,092,668",+25,"248,048,475","+6,172","2,576,014",2024-01-11
Total:,"69,491,576",,"1,364,260",,"66,581,324",,"1,545,992",2024-01-11
Total:,"14,731,298","+1,988","32,076",+10,"14,527,638",+3,"171,584",2024-01-11
Total:,"12,857,985",,"258,877",,"12,089,877",,"509,231",2024-01-11
Total:,721,,15,,706,,0,2024-01-11
Total:,"701,437,702","+9,490","6,966,096",+46,"672,377,327","+17,158","22,094,279",2024-01-11
2024-01-11
"
Asia
","221,285,046",+476,"1,552,498",+6,"205,323,949",+491,"14,408,599",2024-01-11
"
North America
","130,348,505","+11,934","1,665,691",+63,"125,794,375","+12,190","2,888,439",2024-01-11
"
Europe
","252,715,069","+35,471","2,092,643",+245,"248,042,303","+50,350","2,580,123",2024-01-11
"
South America
","69,491,576",,"1,364,260",,"66,581,324",,"1,545,992",2024-01-11
"
Oceania
","14,729,310","+2,208","32,066",,"14,527,635",+3,"169,609",2024-01-11
"
Africa
","12,857,985",+1,"258,877",,"12,089,877",+2,"509,231",2024-01-11
"

",721,,15,,706,,0,2024-01-11
World,"701,428,212","+50,090","6,966,050",+314,"672,360,169","+63,036","22,101,993",2024-01-11
China,"503,302",,"5,272                                ",,"379,053",,"118,977",2024-01-11
USA,"110,361,043","+10,482","1,191,178                                ",+52,"108,065,982","+10,481","1,103,883",2024-01-11
India,"45,019,214",+475,"533,402                                ",+6,N/A,N/A,N/A,2024-01-11
France,"40,138,560",,"167,642                                ",,"39,970,918",,0,2024-01-11
Germany,"38,784,494","+3,573","180,657                                ",+79,"38,240,600",,"363,237",2024-01-11
Brazil,"38,210,864",,"708,638                                ",,"36,249,161",,"1,253,065",2024-01-11
S. Korea,"34,571,873",,"35,934                                ",,"34,535,939",,0,2024-01-11
Japan,"33,803,572",,"74,694                                ",,N/A,N/A,N/A,2024-01-11
Italy,"26,671,165",,"195,139                                ",,"26,257,742",,"218,284",2024-01-11
UK,"24,812,582",,"232,112                                ",,"24,580,470",,0,2024-01-11
Russia,"23,798,457","+25,922","401,543                                ",+123,"23,198,668","+40,958","198,246",2024-01-11
Turkey,"17,232,066",,"102,174                                ",,N/A,N/A,N/A,2024-01-11
Spain,"13,914,811",,"121,760                                ",,"13,762,417",,"30,634",2024-01-11
Australia,"11,760,483","+2,203","23,871                                ",,N/A,N/A,N/A,2024-01-11
Vietnam,"11,624,114",,"43,206                                ",,"10,640,971",,"939,937",2024-01-11
Taiwan,"10,241,523",,"19,005                                ",,"10,222,518",,0,2024-01-11
Argentina,"10,080,046",,"130,685                                ",,"9,949,361",,0,2024-01-11
