iter	Passed	Remaining
474	1483153	1639274
475	1486318	1636199
476	1489442	1633078
477	1492586	1629979
478	1496175	1627363
479	1499511	1624470
480	1503449	1622224
481	1507171	1619739
482	1510771	1617120
483	1513997	1614096
484	1517154	1610998
485	1520307	1607897
486	1523451	1604786
487	1526608	1601687
488	1529752	1598575
489	1532901	1595468
490	1536050	1592362
491	1539196	1589251
492	1542348	1586147
493	1545496	1583039
494	1548638	1579924
495	1551793	1576822
496	1554944	1573715
497	1558088	1570602
498	1561358	1567616
499	1564539	1564539
500	1567685	1561427
501	1570838	1558321
502	1573979	1555204
503	1577218	1552182
504	1580365	1549071
505	1583510	1545956
506	1586693	1542879
507	1589870	1539795
508	1593032	1536696
509	1596172	1533577
510	1599330	1530474
511	1602479	1527363
512	1605616	1524239
513	1608761	1521124
514	1611917	1518018
515	1615075	1514915
516	1618232	1511810
517	1621388	1508705
518	1624529	1505585
519	1627663	1502458
520	1630815	1499348
521	1634032	1496297
522	1637265	1493260
523	1640499	1490224
524	1643747	1487200
525	1646918	1484104
526	1650090	1481010
527	1653267	1477920
528	1656445	1474831
529	1659655	1471769
530	1662805	1468655
531	1665953	1465537
532	1669108	1462426
533	1672257	1459310
534	1675395	1456185
535	1678578	1453097
536	1681726	1449979
537	1684960	1446936
538	1688178	1443878
539	1691393	1440816
540	1694575	1437726
541	1697756	1434635
542	1700894	1431507
543	1704077	1428418
544	1707269	1425335
545	1710467	1422257
546	1713651	1419166
547	1716858	1416095
548	1720136	1413081
549	1723297	1409970
550	1726477	1406875
551	1729635	1403762
552	1732789	1400645
553	1735941	1397526
554	1739095	1394409
555	1742240	1391285
556	1745407	1388178
557	1748571	1385069
558	1751725	1381951
559	1754884	1378837
560	1758058	1375735
561	1761231	1372632
562	1764416	1369537
563	1767601	1366443
564	1770773	1363338
565	1773926	1360218
566	1777068	1357090
567	1780260	1354000
568	1783487	1350937
569	1786672	1347840
570	1789826	1344721
571	1793066	1341664
572	1796417	1338691
573	1799642	1335622
574	1802847	1332539
575	1806035	1329442
576	1809190	1326321
577	1812349	1323203
578	1815558	1320120
579	1818736	1317016
580	1821884	1313889
581	1825078	1310794
582	1828261	1307692
583	1831451	1304595
584	1834765	1301585
585	1838025	1298537
586	1841204	1295429
587	1844404	1292337
588	1847598	1289241
589	1850795	1286146
590	1853955	1283024
591	1857121	1279908
592	1860333	1276822
593	1863497	1273703
594	1866650	1270577
595	1869819	1267461
596	1873014	1264363
597	1876185	1261248
598	1879370	1258142
599	1882527	1255018
600	1885757	1251942
601	1888969	1248853
602	1892172	1245758
603	1895353	1242648
604	1898539	1239542
605	1901720	1236432
606	1904872	1233303
607	1908062	1230198
608	1911240	1227085
609	1914428	1223978
610	1917685	1220916
611	1920887	1217817
612	1924038	1214686
613	1927331	1211644
614	1930519	1208536
615	1933687	1205415
616	1936901	1202323
617	1940123	1199234
618	1943267	1196098
619	1946416	1192964
620	1949575	1189837
621	1952730	1186707
622	1955917	1183596
623	1959070	1180465
624	1962211	1177326
625	1965362	1174194
626	1968531	1171072
627	1971679	1167937
628	1974835	1164807
629	1977978	1161669
630	1981145	1158546
631	1984318	1155425
632	1987473	1152294
633	1990631	1149166
634	1993801	1146043
635	1996974	1142922
636	2000129	1139791
637	2003331	1136686
638	2006531	1133580
639	2009884	1130559
640	2013306	1127577
641	2016681	1124566
642	2019942	1121492
643	2023203	1118416
644	2026459	1115338
645	2029686	1112242
646	2032938	1109161
647	2036187	1106077
648	2039537	1103047
649	2042772	1099954
650	2046001	1096858
651	2049170	1093729
652	2052318	1090588
653	2055523	1087479
654	2058679	1084342
655	2061823	1081199
656	2064974	1078061
657	2068118	1074918
658	2071257	1071773
659	2074447	1068654
660	2077592	1065512
661	2080774	1062389
662	2083938	1059256
663	2087094	1056119
664	2090248	1052982
665	2093432	1049859
666	2096620	1046738
667	2099812	1043619
668	2103011	1040503
669	2106225	1037394
670	2109417	1034274
671	2112631	1031165
672	2115897	1028080
673	2119237	1025031
674	2122616	1022000
675	2126015	1018977
676	2129317	1015907
677	2132743	1012895
678	2136037	1009820
679	2139314	1006736
680	2142992	1003839
681	2147065	1001124
682	2150820	998257
683	2154555	995379
684	2157791	992269
685	2161061	989174
686	2164272	986051
687	2167574	982970
688	2171010	979947
689	2174263	976843
690	2177530	973743
691	2180813	970651
692	2184094	967557
693	2187262	964412
694	2190481	961290
695	2193685	958161
696	2197071	955111
697	2200543	952097
698	2203901	949033
699	2207171	945930
700	2210485	942846
701	2213758	939743
702	2217050	936648
703	2220396	933575
704	2223675	930474
705	2226952	927371
706	2230279	924288
707	2233639	921218
708	2237405	918314
709	2241181	915412
710	2244834	912457
711	2247991	909299
712	2251225	906173
713	2254532	903076
714	2257720	899930
715	2260980	896813
716	2264107	893643
717	2267407	890541
718	2270636	887411
719	2273816	884261
720	2277107	881155
721	2280553	878107
722	2283876	875012
723	2287180	871908
724	2290456	868793
725	2293661	865651
726	2296901	862522
727	2300140	859392
728	2303467	856295
729	2306892	853234
730	2310149	850109
731	2313418	846989
732	2316720	843880
